"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_santiago_del_estero","vcr_santiago_del_estero","compatibilidad_con_santiago_del_estero","valor_estrategico_para_santiago_del_estero","indice_recuperacion_de_posiciones_santiago_del_estero","indice_oportunidades_cercanas_santiago_del_estero","indice_objetivos_factibles_santiago_del_estero","indice_apuestas_ambiciosas_santiago_del_estero","top_20_criterios_santiago_del_estero","empleo","empresas","tasa_fem"
"250100","Salt","Sal (incluida la de mesa y la desnaturalizada) y cloruro de sodio puro","Minerales"," V Productos minerales","-1.12671","3962","Creció / Se mantuvo","14286192.50546","19907.60094","0.12439","1.92437","-0.57977","0","1.11843","0.59026","0.03474","","s.d.","s.d.","0.14908"
"130239","Mucilages & thickeners nes","Los demas mucilagos y espesativos derivados de los vegetales, incluso","Agricultura"," II Productos vegetales","-0.80484","3564","Creció / Creció","4332238.10656","19553.40309","0.32215","-0.43724","-0.29702","0","-0.44596","-0.44330","-0.46604","","s.d.","s.d.","0.11790"
"60299","Live plants, nes","Plantas vivas, nes","Agricultura"," II Productos vegetales","-0.92927","3732","Creció mucho / Creció","46263670.87158","17649.01996","0.04723","0.75044","-0.03493","0","0.42540","0.22361","-0.02290","","50","18","0.19753"
"843353","Root or tuber harvesting machines","Maquinas para la recoleccion de raices o de tuberculos.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.20449","2127","Creció / Decreció","2780319.79508","17549.33333","0.80012","0.13939","-0.56705","0","0.00461","-0.09810","-0.16223","Trayectoria productiva","s.d.","s.d.","0.08734"
"410439","Bovine leather, nes","Los demas cueros y pieles de bovino y equino, apergaminados o preparad","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.08875","3929","Decreció mucho / Decreció mucho","-89981811.74590","17345.87685","0.11399","1.81354","-0.34114","0","1.09237","0.62406","0.11836","","s.d.","s.d.","0.06157"
"380810","Insecticides","Insecticidas.","Químicos"," VI Productos químicos y aliados","-0.53678","3243","Creció mucho / Creció mucho","-50009705.34973","16424.77978","0.03527","1.27565","0.21291","0","0.88186","0.63183","0.34431","","s.d.","s.d.","0.19452"
"640610","Footwear uppers","Cortes aparados y sus partes, con exclusion de los contrafuertes y pun","Textiles"," XII Calzado, cascos, paraguas, bastones, plumas preparadas, flores artificiales y artículos de cabello humano","-1.17330","4004","Decreció / Decreció","22024132.28415","16019.00000","0.09736","0.65135","-0.31124","0","0.27636","0.04074","-0.23798","","s.d.","s.d.","0.26100"
"251810","Dolomite, not calcined","Dolomita sin calcinar ni sinterizar, llamada cruda.","Minerales"," V Productos minerales","-0.44346","3119","Creció / Se mantuvo","-981609.84426","14143.82666","0.89929","1.54638","-0.60265","1","0.91759","0.49574","0.08185","Recuperación de posiciones, Trayectoria productiva","0","0","0.08673"
"430390","Furskin articles, not clothing","Los demas articulos de peleteria.","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-0.87994","3673","Decreció / Decreció","-2173992.59290","12292.91341","0.59584","0.88493","-0.43074","0","0.44531","0.15971","-0.14834","Trayectoria productiva","s.d.","s.d.","0.33945"
"570110","Carpets of wool/hair, knotted","Alfombras de nudo, de lana o de pelo fino.","Textiles"," XI Textiles y artículos textiles","-0.71762","3462","Decreció mucho / Decreció","3547122.77869","12154.00000","0.41964","-0.17446","-0.59261","0","-0.31240","-0.40228","-0.49842","Trayectoria productiva","0","0","0.20700"
"121410","Lucerne (alfalfa) meal and pellets","Harina y pellets de alfalfa.","Agricultura"," II Productos vegetales","-0.46429","3139","Creció / Creció","-13303493.02186","12056.29541","0.63168","2.06974","0.05746","1","1.41388","0.98534","0.53071","Recuperación de posiciones, Trayectoria productiva","s.d.","s.d.","0.15719"
"71420","Sweet potatoes","Batatas, frescas o secas, incluso troceadas o en pellets.","Agricultura"," II Productos vegetales","-1.52737","4315","Creció mucho / Creció","3937818.70765","11319.31510","0.34881","1.47378","-0.82238","0","0.71443","0.21995","-0.30978","Trayectoria productiva","1667","326","0.11081"
"230110","Flour, meal of meat, for animal feed","Harina, polvo y pellets, de carne o despojos; chicharrones.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.35922","2999","Creció mucho / Creció","-14606408.84426","11319.17871","0.11146","1.64382","0.29019","0","1.17279","0.86960","0.53393","","527","14","0.09596"
"21090","Cured meat and offal","Los demas, incluidos la harina y el polvo comestible, de carne o despo","Agricultura"," I Animales vivos; productos animales","-0.05014","2525","Decreció mucho / Decreció mucho","6099405.03279","10934.00000","0.21736","1.52633","-1.23553","0","0.81631","0.32321","-0.11063","","527","14","0.09596"
