Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Santa Cruz,VCR Santa Cruz,Compatibilidad con Santa Cruz,Valor estratégico para Santa Cruz,Indice Recuperacion de posiciones - Santa Cruz,Indice Oportunidades cercanas - Santa Cruz,Indice Objetivos factibles - Santa Cruz,Indice Apuestas ambiciosas - Santa Cruz,Top 20 criterios Santa Cruz,Empleo 2021,Empresas 2020,Tasa fem
10111,"Horses, pure-bred",Caballos reproductores de raza pura.,Agricultura, I Animales vivos; productos animales,-0.131425173799098,2648,Creció / Se mantuvo,4238686.86612022,0.0,0.0,1.63418481162825,-0.584648138247246,0,1.01385722311042,0.592751781357724,0.19430748782744,,1080,259,0.100504803248634
21012,Cured swine bellies,"Panceta y sus trozos, salados o en salmuera, secos o ahumados.",Agricultura, I Animales vivos; productos animales,1.11451340197935,641,Creció / Creció,4448351.76775956,0.0,0.0,-0.565428398308015,1.19172280327427,0,-0.0460039779628205,0.301565792288891,0.645275092475856,,520,12,0.0959626348348781
21019,Cured pork,"Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.",Agricultura, I Animales vivos; productos animales,0.841587698677567,1043,Decreció / Decreció,17653033.7431694,0.0,0.0,-0.710952237011697,0.480894086826572,0,-0.317328978675116,-0.0609250333149131,0.21351359263784,,520,12,0.0959626348348781
21020,Cured beef,"Carne de bovinos salada o en salmuera, seca o ahumada.",Agricultura, I Animales vivos; productos animales,-0.14461267008568,2671,Creció / Creció,1941828.68579235,0.0,0.0,0.175474721799875,0.0552952741997416,0,0.119430093091293,0.0853988063569949,0.0413721224084262,,520,12,0.0959626348348781
21090,Cured meat and offal,"Los demas, incluidos la harina y el polvo comestible, de carne o despo",Agricultura, I Animales vivos; productos animales,-0.0501410433336979,2525,Decreció mucho / Decreció mucho,6099405.03278689,0.0,0.0,0.949712166098129,-1.23126456177157,0,0.413531499581007,0.0363923299289614,-0.281690663801191,,520,12,0.0959626348348781
30110,Live ornamental fish,"Peces ornamentales, vivos.",Agricultura, I Animales vivos; productos animales,-1.07092002249008,3907,Creció / Se mantuvo,2083891.56284153,0.0,0.0,1.25896344264477,-0.607843831078026,0,0.652613641386728,0.256098377071566,-0.163570696814198,,4077,32,0.0919671462589877
30191,Live trout,"Truchas, vivas.",Agricultura, I Animales vivos; productos animales,-0.228193142187676,2808,Creció / Creció,882861.87431694,0.0,0.0,0.190478497741956,-0.23385106666707,0,0.0637454208671875,-0.0208375957906479,-0.105137716224514,,4077,32,0.0919671462589877
30192,Live eels,Anguilas vivas.,Agricultura, I Animales vivos; productos animales,-0.76847703700699,3520,Creció mucho / Creció,3887181.19672131,0.0,0.0,0.258793439824189,-0.767150933458161,0,-0.0491224825153991,-0.25437766234931,-0.459699147360663,,4077,32,0.0919671462589877
30193,Live carp,Carpas vivas.,Agricultura, I Animales vivos; productos animales,0.212230678683587,2118,Decreció / Decreció,1213960.52732241,0.0,0.0,-0.968591268742354,-0.795929790949788,0,-0.815976778441247,-0.731036459401065,-0.595688116879214,,4077,32,0.0919671462589877
30199,Other live fish,Los demas peces vivos.,Agricultura, I Animales vivos; productos animales,-1.25116865630303,4080,Creció / Decreció,5396004.42896175,0.0,0.0,1.03679829736577,-0.730204632102935,0,0.454601016105146,0.0751522290014012,-0.330344759312348,,4077,32,0.0919671462589877
30211,Trout,"Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech",Agricultura, I Animales vivos; productos animales,-0.339593355987827,2966,Creció / Creció,3877227.02732241,1706.92504882812,0.024355408567467,0.869224561054981,0.129311279081288,0,0.600360112955961,0.428932224807767,0.234059104906117,,4077,32,0.0919671462589877
