Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Tierra del Fuego,VCR Tierra del Fuego,Compatibilidad con Tierra del Fuego,Valor estratégico para Tierra del Fuego,Indice Recuperacion de posiciones - Tierra del Fuego,Indice Oportunidades cercanas - Tierra del Fuego,Indice Objetivos factibles - Tierra del Fuego,Indice Apuestas ambiciosas - Tierra del Fuego,Top 20 criterios Tierra del Fuego,Empleo 2021,Empresas 2020,Tasa fem
20731,"Fatty livers of geese, ducks","Hígados grasos de gansos, patos",Agricultura, I Animales vivos; productos animales,0.325506322813762,1910,Decreció / Decreció,421870.101092896,0.0,0.0,-1.33896139671418,-2.50026771155395,0,-1.40477588772934,-1.29639443151853,-1.44543230851009,,29,4,0.0959626348348781
20739,Other poultry meat,Otra carne de aves de corral,Agricultura, I Animales vivos; productos animales,0.812376349796186,1086,Creció mucho / Creció,46578957.704918,0.0,0.0,-0.548170520098873,1.45029462929064,0,-0.0124228032314632,0.223555141227518,0.691275514600175,,29,4,0.0959626348348781
20741,"Domestic fowl meat, frozen","Carne de ave doméstica, congelada",Agricultura, I Animales vivos; productos animales,-0.163751184190962,2710,Creció mucho / Creció,-119950484.519126,0.0,0.0,0.326591140751266,-0.103297244050098,0,0.19157923129677,0.121050579562479,0.0105557863550953,,29,4,0.0959626348348781
20742,"Turkey meat, frozen","Carne de pavo, congelada",Agricultura, I Animales vivos; productos animales,0.129992067262481,2262,Decreció / Decreció,6028205.30327869,0.0,0.0,-0.266391933698255,0.751795111814475,0,-0.0231161244996355,0.0674316278720746,0.290888237022657,,29,4,0.0959626348348781
20743,"Duck meat, frozen","Carne de pato, congelada",Agricultura, I Animales vivos; productos animales,0.606872691047187,1441,Se mantuvo / Decreció,3893116.5136612,0.0,0.0,-0.113235588814908,-1.39828412139393,0,-0.298234467344502,-0.290476065987244,-0.511480358509944,,29,4,0.0959626348348781
20810,Rabbit meat and offal,Carne de conejo o liebre refrigerada o congelada,Agricultura, I Animales vivos; productos animales,0.413123574057429,1757,Decreció / Decreció,-4273833.32786885,0.0,0.0,-0.342077051127619,0.818526139095381,0,-0.0344363505645141,0.0991138714651405,0.368994540768993,,29,4,0.0959626348348781
20890,"Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge",Agricultura, I Animales vivos; productos animales,-0.20329973092706,2778,Decreció / Decreció,3566179.67213115,0.0,0.0,0.433551461152628,0.47863317911373,0,0.37888268553688,0.317451652226966,0.294625436215202,,29,4,0.0959626348348781
20900,Pig and poultry fat,"Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos",Agricultura, I Animales vivos; productos animales,0.587262211296032,1464,Creció / Creció,3055075.8852459,0.0,0.0,-0.011853193900258,1.24656476338759,0,0.299741938076941,0.422574376460963,0.704213738178348,,29,4,0.0959626348348781
21011,Cured pork shoulders and ham,"Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se",Agricultura, I Animales vivos; productos animales,0.192951393757814,2157,Creció / Se mantuvo,2329832.84153005,0.0,0.0,0.341540895250961,0.509493839649656,0,0.360272533981386,0.353811231052006,0.379972344857087,,29,4,0.0959626348348781
21012,Cured swine bellies,"Panceta y sus trozos, salados o en salmuera, secos o ahumados.",Agricultura, I Animales vivos; productos animales,1.11451340197935,641,Creció / Creció,4448351.76775956,0.0,0.0,-0.471450874869002,1.19364087085131,0,0.020163901959895,0.262014916930745,0.674331479917224,,29,4,0.0959626348348781
