"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_salta","vcr_salta","compatibilidad_con_salta","valor_estrategico_para_salta","indice_recuperacion_de_posiciones_salta","indice_oportunidades_cercanas_salta","indice_objetivos_factibles_salta","indice_apuestas_ambiciosas_salta","top_20_criterios_salta","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","0.00000","0.00000","1.22165","-0.60228","0","0.72155","0.38031","0.06261","","1880","213","0.10050"
"21011","Cured pork shoulders and ham","Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se","Agricultura"," I Animales vivos; productos animales","0.19295","2157","Creció / Se mantuvo","2329832.84153","0.00000","0.00000","0.37937","0.48108","0","0.38107","0.38700","0.37853","","1642","22","0.09596"
"21012","Cured swine bellies","Panceta y sus trozos, salados o en salmuera, secos o ahumados.","Agricultura"," I Animales vivos; productos animales","1.11451","641","Creció / Creció","4448351.76776","0.00000","0.00000","-0.28651","1.17709","0","0.14631","0.43590","0.72237","","1642","22","0.09596"
"21019","Cured pork","Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.","Agricultura"," I Animales vivos; productos animales","0.84159","1043","Decreció / Decreció","17653033.74317","0.00000","0.00000","-0.59749","0.47961","0","-0.23817","-0.00465","0.24697","","1642","22","0.09596"
"21020","Cured beef","Carne de bovinos salada o en salmuera, seca o ahumada.","Agricultura"," I Animales vivos; productos animales","-0.14461","2671","Creció / Creció","1941828.68579","0.00000","0.00000","0.56093","0.03108","0","0.38441","0.26965","0.14611","","1642","22","0.09596"
"21090","Cured meat and offal","Los demas, incluidos la harina y el polvo comestible, de carne o despo","Agricultura"," I Animales vivos; productos animales","-0.05014","2525","Decreció mucho / Decreció mucho","6099405.03279","0.00000","0.00000","0.64486","-1.23223","0","0.19994","-0.11637","-0.37358","","1642","22","0.09596"
"30110","Live ornamental fish","Peces ornamentales, vivos.","Agricultura"," I Animales vivos; productos animales","-1.07092","3907","Creció / Se mantuvo","2083891.56284","0.00000","0.00000","1.14809","-0.62737","0","0.57110","0.19383","-0.20562","","s.d.","s.d.","0.09197"
"30191","Live trout","Truchas, vivas.","Agricultura"," I Animales vivos; productos animales","-0.22819","2808","Creció / Creció","882861.87432","0.00000","0.00000","0.34023","-0.24868","0","0.16561","0.04885","-0.06688","","s.d.","s.d.","0.09197"
"30192","Live eels","Anguilas vivas.","Agricultura"," I Animales vivos; productos animales","-0.76848","3520","Creció mucho / Creció","3887181.19672","0.00000","0.00000","-0.26815","-0.76100","0","-0.41675","-0.51570","-0.61501","","s.d.","s.d.","0.09197"
"30193","Live carp","Carpas vivas.","Agricultura"," I Animales vivos; productos animales","0.21223","2118","Decreció / Decreció","1213960.52732","0.00000","0.00000","-0.30239","-0.79745","0","-0.34994","-0.39847","-0.39651","","s.d.","s.d.","0.09197"
"30199","Other live fish","Los demas peces vivos.","Agricultura"," I Animales vivos; productos animales","-1.25117","4080","Creció / Decreció","5396004.42896","0.00000","0.00000","0.68374","-0.73886","0","0.20573","-0.10441","-0.44016","","s.d.","s.d.","0.09197"
"30211","Trout","Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech","Agricultura"," I Animales vivos; productos animales","-0.33959","2966","Creció / Creció","3877227.02732","1.50163","0.00006","0.72848","0.10289","0","0.49655","0.34931","0.17995","","s.d.","s.d.","0.09197"
"30212","Salmon","Salmones del pacifico, atlantico y danubio, fresco o refrigerado.","Agricultura"," I Animales vivos; productos animales","0.77249","1156","Creció mucho / Creció mucho","100694279.09290","0.00000","0.00000","0.29801","-1.39954","0","0.00595","-0.22496","-0.34727","","s.d.","s.d.","0.09197"
"30219","Salmonids, nes","Los demas salmonidos, frescos o refrigerados, excluido filete, higados","Agricultura"," I Animales vivos; productos animales","-1.32227","4153","Decreció / Decreció","1468895.89344","0.00000","0.00000","1.62132","-0.49382","0","0.90393","0.43948","-0.06639","","s.d.","s.d.","0.09197"
