"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_catamarca","vcr_catamarca","compatibilidad_con_catamarca","valor_estrategico_para_catamarca","indice_recuperacion_de_posiciones_catamarca","indice_oportunidades_cercanas_catamarca","indice_objetivos_factibles_catamarca","indice_apuestas_ambiciosas_catamarca","top_20_criterios_catamarca","empleo","empresas","tasa_fem"
"330690","Oral hygiene, not dentrifices","Las demas preparaciones para la higiene bucal o dental.","Químicos"," VI Productos químicos y aliados","0.06023","2363","Creció / Creció","2582481.22131","0","0.00000","1.05186","0.68124","0","0.87857","0.77340","0.63717","","s.d.","s.d.","0.34836"
"330590","Hair preparations, nes","Las demas preparaciones capilares","Químicos"," VI Productos químicos y aliados","0.08697","2317","Creció mucho / Creció","22155447.67213","307.196815490723","0.00171","1.00384","0.77642","0","0.86667","0.78671","0.67228","","s.d.","s.d.","0.34836"
"20680","Sheep and equine offal","Los demas despojos comestibles de animales, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.94238","3745","Se mantuvo / Se mantuvo","-15313.84973","0","0.00000","2.24129","-0.57009","0","1.36065","0.77976","0.18025","","252","7","0.09596"
"20690","Sheep & equine offal, frozen","Los demas despojos comestibles de animales congelados.","Agricultura"," I Animales vivos; productos animales","-1.23473","4063","Decreció / Decreció","-359812.36066","0","0.00000","2.88896","-1.09695","0","1.67941","0.87534","0.06438","","252","7","0.09596"
"200410","Potatoes, prepared, frozen","Patatas (papas), preparadas o conservadas, excepto vinagre o acido ace","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.37120","1827","Creció mucho / Creció mucho","-128231393.27869","0","0.00000","0.97735","-0.76320","0","0.56863","0.27724","0.04257","","150","7","0.26995"
"20721","Whole domestic fowls, frozen","Aves domésticas enteras, congeladas","Agricultura"," I Animales vivos; productos animales","-0.93420","3736","Decreció mucho / Decreció mucho","-56125460.50820","0","0.00000","2.64485","-1.15955","0","1.52606","0.77645","0.03810","","252","7","0.09596"
"390190","Polymers of ethylene, nes","Los demas polimeros de etileno en formas primarias.","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.15859","2215","Creció mucho / Creció mucho","39631518.45628","2.38164059321086","0.00001","0.96570","-0.08547","0","0.67476","0.47673","0.29090","","s.d.","s.d.","0.12871"
"440910","Shaped coniferous wood","Madera conifera perfilada longitudinalmente de coniferas","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.17305","2193","Creció / Creció","-10226476.65847","1034.30159505208","0.02105","0.93766","-0.07963","0","0.65774","0.46691","0.28872","","s.d.","s.d.","0.04618"
"441119","Worked fibreboard, >0.8g/mc2","Tableros de fibra de madera con masa volumica superior a 0,8 g/cm3, co","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.24525","2038","Creció mucho / Creció mucho","33623365.80601","1784.31496968345","0.00889","0.92711","0.66038","0","0.80558","0.73147","0.63662","","s.d.","s.d.","0.09455"
"284019","Disodium tetraborate, hydrated","Los demas tetraboratos de disodio (borax refinado)","Químicos"," VI Productos químicos y aliados","0.76200","1176","Decreció / Decreció","-172493.72404","0","0.00000","0.92388","-1.26323","0","0.47027","0.13411","-0.10079","","s.d.","s.d.","0.14976"
"20741","Domestic fowl meat, frozen","Carne de ave doméstica, congelada","Agricultura"," I Animales vivos; productos animales","-0.16375","2710","Creció mucho / Creció","-119950484.51913","0","0.00000","1.30452","-0.12055","0","0.87268","0.58550","0.29617","","252","7","0.09596"
"250850","Andalusite","Andalucita, cianita y silimanita","Minerales"," V Productos minerales","0.05568","2373","Creció / Se mantuvo","766109.24590","0","0.00000","0.89274","-1.65342","0","0.29980","-0.12398","-0.46230","","0","0","0.08673"
"843230","Seeders, planters","Sembradoras, plantadoras y transplantadoras.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.60280","1445","Creció / Decreció","2665326.73770","0","0.00000","0.88081","1.09236","0","0.89532","0.91315","0.90651","","s.d.","s.d.","0.08734"
"380840","Disinfectants","Desinfectantes.","Químicos"," VI Productos químicos y aliados","0.32533","1912","Creció mucho / Creció mucho","-10526249.97541","105.460032145182","0.00224","0.85972","0.58977","0","0.75229","0.68508","0.60465","","s.d.","s.d.","0.19452"
"20890","Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge","Agricultura"," I Animales vivos; productos animales","-0.20330","2778","Decreció / Decreció","3566179.67213","0","0.00000","0.37502","0.47261","0","0.33671","0.32243","0.27436","","252","7","0.09596"
"441010","Wood particle board","Tabla de partículas de madera","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.19296","2156","Creció mucho / Creció mucho","46564740.72951","146.589354260514","0.00077","0.83474","0.76348","0","0.75631","0.71353","0.64223","","s.d.","s.d.","0.09455"
"210130","Chicory, coffee substitutes","Achicoria tostada y demas sucedaneos del cafe tostado y sus extractos,","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.22832","2083","Decreció / Decreció","269862.54645","39.5876693725586","0.01235","0.81887","0.64906","0","0.72585","0.67085","0.59482","","50","11","0.23891"
"731010","Tank, iron/steel, 50-300L","Depositos,barriles, y similares, de capacidad superior o igual a 50 l.","Metales"," XV Metales comunes y sus manufacturas","0.02648","2414","Creció / Creció","8181988.58197","19.0385548671087","0.00052","0.81004","0.93585","0","0.75685","0.73654","0.67077","","s.d.","s.d.","0.11287"
"120500","Rape or colza seeds","Semilla de navo o de colza, incluso quebrantada.","Agricultura"," II Productos vegetales","0.07683","2332","Decreció mucho / Decreció mucho","61295888.30055","4233.17321523031","0.01823","0.80867","-0.11833","0","0.55008","0.37444","0.20856","","1151","106","0.11081"
"21020","Cured beef","Carne de bovinos salada o en salmuera, seca o ahumada.","Agricultura"," I Animales vivos; productos animales","-0.14461","2671","Creció / Creció","1941828.68579","0","0.00000","-0.03160","0.06039","0","-0.02451","-0.01636","-0.01846","","252","7","0.09596"
"21090","Cured meat and offal","Los demas, incluidos la harina y el polvo comestible, de carne o despo","Agricultura"," I Animales vivos; productos animales","-0.05014","2525","Decreció mucho / Decreció mucho","6099405.03279","0","0.00000","0.20480","-1.21894","0","-0.10544","-0.33175","-0.49962","","252","7","0.09596"
"30110","Live ornamental fish","Peces ornamentales, vivos.","Agricultura"," I Animales vivos; productos animales","-1.07092","3907","Creció / Se mantuvo","2083891.56284","0","0.00000","1.30500","-0.60636","0","0.68514","0.27964","-0.14909","","0","0","0.09197"
"30191","Live trout","Truchas, vivas.","Agricultura"," I Animales vivos; productos animales","-0.22819","2808","Creció / Creció","882861.87432","0","0.00000","-0.09955","-0.22639","0","-0.13778","-0.16324","-0.18879","","0","0","0.09197"
"30192","Live eels","Anguilas vivas.","Agricultura"," I Animales vivos; productos animales","-0.76848","3520","Creció mucho / Creció","3887181.19672","0","0.00000","0.10559","-0.76309","0","-0.15555","-0.32956","-0.50383","","0","0","0.09197"
"843359","Harvesting machinery, nes","Las demas maquinas y aparatos para la cosecha.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.40898","1762","Creció / Creció","381463.16940","776.388244628906","0.02180","0.80614","0.60570","0","0.72634","0.67641","0.61665","","s.d.","s.d.","0.08734"
"30199","Other live fish","Los demas peces vivos.","Agricultura"," I Animales vivos; productos animales","-1.25117","4080","Creció / Decreció","5396004.42896","0","0.00000","0.42358","-0.72170","0","0.02705","-0.22848","-0.51049","","0","0","0.09197"
"30211","Trout","Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech","Agricultura"," I Animales vivos; productos animales","-0.33959","2966","Creció / Creció","3877227.02732","0","0.00000","0.57767","0.13304","0","0.39702","0.28446","0.14827","","0","0","0.09197"
"730620","Casings, circular, iron/steel, oil drilling <406mm","Tubos de entubado o de produccion del tipo d elos utilizados para la e","Metales"," XV Metales comunes y sus manufacturas","0.25302","2025","Decreció mucho / Decreció mucho","7831380.62022","0","0.00000","0.78923","-0.85553","0","0.40665","0.13313","-0.08497","","s.d.","s.d.","0.07857"
"30219","Salmonids, nes","Los demas salmonidos, frescos o refrigerados, excluido filete, higados","Agricultura"," I Animales vivos; productos animales","-1.32227","4153","Decreció / Decreció","1468895.89344","0","0.00000","1.07076","-0.45368","0","0.52657","0.17825","-0.21350","","0","0","0.09197"
"761290","Aluminum casks, <300L","Envases monoblock de aluminio para aerosol","Metales"," XV Metales comunes y sus manufacturas","0.23263","2067","Creció mucho / Creció","22371704.55464","0.0832570418715477","0.00000","0.78555","0.78045","0","0.72924","0.70083","0.64503","","s.d.","s.d.","0.11287"
"280800","Nitric acid","Acido nitrico, acido sulfonitrico","Químicos"," VI Productos químicos y aliados","0.03759","2401","Se mantuvo / Decreció","1043312.19126","0","0.00000","0.77874","0.62513","0","0.67390","0.61380","0.52433","","0","0","0.04194"
"30223","Sole","Lenguados frescos o refrigerados, excluidos filetes, higado, huevas, l","Agricultura"," I Animales vivos; productos animales","-0.82121","3594","Decreció / Decreció","1261264.75410","0","0.00000","0.43539","-0.37346","0","0.14796","-0.03620","-0.24274","","0","0","0.09197"
"30229","Flatfish","Los demas pescados planos, frescos o refrigerados, excluidos: filetes,","Agricultura"," I Animales vivos; productos animales","-1.45183","4263","Creció / Creció","2932782.13388","0","0.00000","0.92726","-0.54331","0","0.39524","0.05570","-0.32927","","0","0","0.09197"
"30231","Albacore","Albacoras o atunes blancos, frescos o refrigerados excl. higados, huev","Agricultura"," I Animales vivos; productos animales","-1.35043","4179","Decreció / Se mantuvo","435462.18306","0","0.00000","0.66409","-1.04240","0","0.12134","-0.23536","-0.60746","","0","0","0.09197"
"30232","Yellowfin tuna","Atunes de aleta amarilla, frescos o refrigerados, excluido higados, hu","Agricultura"," I Animales vivos; productos animales","-1.67290","4407","Decreció / Decreció","1589587.96175","0","0.00000","1.28451","-1.11913","0","0.50804","-0.00037","-0.53648","","0","0","0.09197"
"30233","Bonito","Listados o bonitos de vientre rayado frescos o refrigerados, excluido","Agricultura"," I Animales vivos; productos animales","-0.95114","3758","Se mantuvo / Se mantuvo","72103.21585","0","0.00000","0.30261","-0.41864","0","0.03298","-0.13789","-0.33539","","0","0","0.09197"
"30239","Tuna, nes","Los demas atunes, frescos o refrigerados, excluido los higados, huevas","Agricultura"," I Animales vivos; productos animales","-1.46881","4275","Decreció / Decreció","2517857.79781","0","0.00000","1.48442","-0.90319","0","0.71157","0.20577","-0.32831","","0","0","0.09197"
"871620","Agricultural trailers","Remolques y semirremolques autocargadores o autodescargadores, para us","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.23200","2069","Creció / Creció","2006638.54098","0","0.00000","0.77737","0.89389","0","0.74614","0.73635","0.69346","","s.d.","s.d.","0.08734"
"870210","Diesel powered buses","Vehiculos automoviles para el transporte de personas con motor de embo","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.37145","1826","Creció mucho / Creció mucho","-70132890.15027","0","0.00000","0.77255","0.85528","0","0.74898","0.74134","0.70950","","0","0","0.09613"
"30261","Sardines","Sardinas, sardinelas y espadines frescos o refrig. excluido filete, hi","Agricultura"," I Animales vivos; productos animales","-1.33325","4162","Decreció / Decreció","655563.39071","0","0.00000","0.87894","-0.62602","0","0.35673","0.02037","-0.35134","","0","0","0.09197"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.25748","2016","Creció mucho / Creció mucho","-10367234.86339","0","0.00000","0.76094","0.52132","0","0.66267","0.60155","0.52724","","216","34","0.10050"
"481310","Paper, cigarette, tubes","Papel de fumar, en librillos o en tubos.","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.13927","2244","Decreció / Decreció","2231772.76503","0","0.00000","0.76056","0.84802","0","0.71593","0.69798","0.64460","","s.d.","s.d.","0.20466"
"30264","Mackerel","Caballas frescas o refrigeradas, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","-1.04818","3878","Decreció / Decreció","1577390.29781","0","0.00000","0.67902","-0.73422","0","0.22365","-0.07469","-0.38874","","0","0","0.09197"
"30265","Shark","Escualos.","Agricultura"," I Animales vivos; productos animales","-0.67736","3414","Decreció / Decreció","256439.71585","0","0.00000","0.40884","-0.39473","0","0.13951","-0.03534","-0.22432","","0","0","0.09197"
"110710","Malt, not roasted","Malta, sin tostar","Agricultura"," II Productos vegetales","0.07648","2333","Decreció / Decreció","-206738535.27322","0","0.00000","0.73577","0.13384","0","0.54946","0.42620","0.30008","","s.d.","s.d.","0.16378"
"30269","Whole fish, nes","Los demas pescados frescos o refrigerados, excluye filetes, higados, h","Agricultura"," I Animales vivos; productos animales","-1.80535","4482","Creció mucho / Creció","20177505.30874","0","0.00000","1.91228","-1.09839","0","0.93838","0.30090","-0.37193","","0","0","0.09197"
"30270","Fish roes and livers","Higados, huevas y lechas fresca o refrigeradas","Agricultura"," I Animales vivos; productos animales","-0.41472","3084","Creció / Se mantuvo","377695.64208","0","0.00000","0.08132","0.16939","0","0.04933","0.03774","-0.00306","","s.d.","s.d.","0.32462"
"392390","Plastic goods for packing","Los demas articulos para el transporte o envasado de plastico.","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.13120","2259","Creció mucho / Creció mucho","28706523.95628","72.6612243652344","0.00039","0.72390","0.85985","0","0.69182","0.68258","0.63690","","s.d.","s.d.","0.12832"
"30321","Trout, frozen","Truchas congeladas, excluidos los filetes, higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","-0.91561","3717","Decreció / Decreció","2442253.30328","0","0.00000","1.30966","-1.94341","0","0.43652","-0.16270","-0.71054","","s.d.","s.d.","0.32462"
"843142","Bulldozer & angledozer blades","Hojas de topadora (de bulldozers), incluso angulares (de angledozer)","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.02781","2411","Decreció / Decreció","1059799.58470","0","0.00000","0.72182","-0.43559","0","0.42094","0.21263","0.02748","","s.d.","s.d.","0.08398"
"30329","Salmonids, frozen, nes","Los demas salmonidos congelados, excluidos filete, higado, huevas y le","Agricultura"," I Animales vivos; productos animales","-2.16853","4597","Creció / Creció","1752385.01639","0","0.00000","0.80410","-2.40847","0","-0.13568","-0.76619","-1.38471","","s.d.","s.d.","0.32462"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.73039","1234","Creció mucho / Creció","4301511.52186","0","0.00000","0.71849","0.27485","0","0.63095","0.56500","0.52183","","252","7","0.09596"
"30332","Plaice, frozen","Sollas congeladas, excluido filetes, higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","-0.55287","3260","Creció / Se mantuvo","251439.30055","0","0.00000","-0.32038","-0.80671","0","-0.44089","-0.52547","-0.59735","","s.d.","s.d.","0.32462"
